"fight_id","winner","title_bout","weight_class","no_of_rounds","r_fighter","r_fighter_id","r_fighter_stance","r_fighter_age","b_fighter","b_fighter_id","b_fighter_stance","b_fighter_age","date","referee","referee_id","b_fighter_height","r_fighter_height","b_fighter_reach","r_fighter_reach","b_fighter_weight","r_fighter_weight","records_id","fight_id-2","b_current_lose_streak","b_current_win_streak","b_draw","b_longest_win_streak","b_losses","b_total_title_bouts","b_win_by_decision_majority","b_win_by_decision_split","b_win_by_decision_unanimous","b_win_by_ko_tko","b_win_by_submission","b_win_by_tko_doctor_stoppage","b_wins","b_total_rounds_fought","b_total_time_fought_seconds","r_current_lose_streak","r_current_win_streak","r_draw","r_longest_win_streak","r_losses","r_total_rounds_fought","r_total_time_fought_seconds","r_total_title_bouts","r_win_by_decision_majority","r_win_by_decision_split","r_win_by_decision_unanimous","r_win_by_ko_tko","r_win_by_submission","r_win_by_tko_doctor_stoppage","r_wins"
"FT2792","Red ","FALSE","Lightweight",5,"Donald Cerrone",783,"Orthodox",31,"Jim Miller",589,"Southpaw",30,"2014-07-16","Dan Miragliotta","r25",172.72,185.42,180.34,185.42,155,155,"record2792","FT2792",0,2,0,7,4,0,0,0,5,2,6,0,13,39,614.5294118,0,3,0,4,3,25,506.6153846,0,0,0,3,3,4,0,10
"FT2795","Blue","FALSE","Lightweight",3,"Justin Salas",919,"Southpaw",32,"Joe Proctor",950,"Orthodox",28,"2014-07-16","Gasper Oliver","r91",177.8,172.72,182.88,177.8,155,155,"record2795","FT2795",0,1,0,1,1,0,0,0,1,1,0,0,2,7,639.6666667,0,1,0,1,2,9,437,0,0,1,1,1,0,0,3
"FT2796","Red ","FALSE","Flyweight",3,"John Lineker",940,"Orthodox",24,"Alptekin Ozkilic",1157,"Orthodox",28,"2014-07-16","Keith Peterson","r48",165.1,160.02,165.1,170.18,125,135,"record2796","FT2796",1,0,0,1,1,0,0,1,0,0,0,0,1,6,900,1,0,0,4,2,13,549.1666667,0,0,0,1,3,0,0,4
"FT2800","Blue","FALSE","Bantamweight",3,"Hugo Viana",975,"Orthodox",31,"Aljamain Sterling",1191,"Orthodox",24,"2014-07-16","Liam Kerrigan","r115",170.18,167.64,180.34,170.18,135,135,"record2800","FT2800",0,1,0,1,0,0,0,0,1,0,0,0,1,3,900,0,1,0,2,1,8,576.75,0,0,1,1,1,0,0,3
"FT2797","Red ","FALSE","Featherweight",3,"Lucas Martins",1017,"Southpaw",25,"Alex White",1224,"Southpaw",25,"2014-07-16","Gasper Oliver","r91",182.88,182.88,180.34,182.88,155,145,"record2797","FT2797",0,1,0,1,0,0,0,0,0,1,0,0,1,1,88,0,2,0,2,1,5,280.3333333,0,0,0,0,1,1,0,2
"FT2799","Blue","FALSE","Women's Bantamweight",3,"Jessamyn Duke",1137,NULL,28,"Leslie Smith",1216,"Orthodox",31,"2014-07-16","Vitor Ribeiro","r114",175.26,180.34,167.64,185.42,135,135,"record2799","FT2799",1,0,0,0,1,0,0,0,0,0,0,0,0,3,900,1,0,0,1,1,6,900,0,0,0,1,0,0,0,1
"FT2801","Red ","FALSE","Lightweight",3,"Yosdenis Cedeno",1192,"Orthodox",29,"Jerrod Sanders",1287,"Orthodox",34,"2014-07-16","Vitor Ribeiro","r114",172.72,172.72,182.88,175.26,135,155,"record2801","FT2801",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,1,0,0,0,1,3,900,0,0,0,0,0,0,0,0
"FT2802","Red ","FALSE","Women's Strawweight",3,"Claudia Gadelha",1286,"Orthodox",25,"Tina Lahdemaki",1288,"Orthodox",26,"2014-07-16","Liam Kerrigan","r115",157.48,162.56,157.48,160.02,115,115,"record2802","FT2802",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
"FT2805","Blue","FALSE","Flyweight",3,"Brad Pickett",870,"Orthodox",35,"Ian McCall",925,"Orthodox",30,"2014-07-19","Neil Hall","r94",165.1,167.64,162.56,172.72,125,135,"record2805","FT2805",0,1,0,1,3,0,0,0,1,0,0,0,1,12,900,0,1,0,2,3,15,605.2857143,0,0,1,1,1,1,0,4
"FT2804","Red ","FALSE","Welterweight",3,"Gunnar Nelson",992,"Switch",25,"Zak Cummings",1104,"Southpaw",29,"2014-07-19","Marc Goddard","r37",182.88,180.34,190.5,182.88,185,170,"record2804","FT2804",0,2,0,2,0,0,0,0,1,0,1,0,2,4,579.5,0,3,0,3,0,5,463.3333333,0,0,0,1,0,2,0,3
"FT2806","Red ","FALSE","Lightweight",3,"Norman Parke",1005,NULL,27,"Naoyuki Kotani",471,"Southpaw",32,"2014-07-19","Marc Goddard","r37",172.72,180.34,167.64,177.8,155,155,"record2806","FT2806",2,0,0,0,2,0,0,0,0,0,0,0,0,5,662,1,0,0,3,1,12,900,1,0,0,3,0,0,0,3
"FT2811","Blue","FALSE","Light Heavyweight",3,"Cody Donovan",1009,"Orthodox",33,"Nikita Krylov",1106,"Orthodox",22,"2014-07-19","Marc Goddard","r37",190.5,190.5,195.58,187.96,205,205,"record2811","FT2811",1,0,0,1,2,0,0,0,0,1,0,0,1,5,269.3333333,2,0,0,1,2,4,261.3333333,0,0,0,0,1,0,0,1
